procedure_name,code_type,code,modifier
Comprehensive Gastro Skin biopsy,CPTCode,11102,
Diagnostic Cardiac Fine needle aspiration,CPTCode,10021,
Follow-up ENT Excision of lesion skin,CPTCode,11400,
Diagnostic Oncology Laceration repair simple,CPTCode,12001,
Routine Oncology Laceration repair complex,CPTCode,13100,
Routine Cardiac Abscess incision drainage,CPTCode,10060,
Targeted Neurological Nail removal,CPTCode,11730,
Screening Oncology Cerumen removal,CPTCode,69210,
Comprehensive Neurological Cataract surgery,CPTCode,66984,
Screening Orthopedic Vitrectomy,CPTCode,67036,
Emergency Dermatology LASIK,CPTCode,66999,
Specialized Renal Tonsillectomy,CPTCode,42825,
Targeted Gastro Adenoidectomy,CPTCode,42830,
Advanced Pulmonary Septoplasty,CPTCode,30520,
Screening Renal Rhinoplasty,CPTCode,30400,
Therapeutic Neurological Sinus surgery,CPTCode,31256,
Screening Dermatology Thyroidectomy total,CPTCode,60240,
Follow-up Oncology Parathyroidectomy,CPTCode,60500,
Comprehensive Pulmonary Mastectomy simple,CPTCode,19301,
Comprehensive Gastro Lumpectomy,CPTCode,19301,
Emergency Cardiac Sentinel node biopsy,CPTCode,38792,
Advanced Cardiac Hysterectomy total abdominal,CPTCode,58150,
Follow-up Pulmonary Hysterectomy laparoscopic,CPTCode,58570,
Follow-up Dermatology Myomectomy abdominal,CPTCode,58140,
Routine Pulmonary Oophorectomy,CPTCode,58940,
Emergency Cardiac Tubal ligation,CPTCode,58600,
Follow-up Orthopedic Cesarean section,CPTCode,59510,
Advanced Oncology Normal vaginal delivery,CPTCode,59400,
Targeted Dermatology Dilation and curettage,CPTCode,58120,
Advanced Cardiac Colposcopy,CPTCode,57454,
Therapeutic Pulmonary LEEP procedure,CPTCode,57461,
Follow-up Oncology Prostatectomy radical,CPTCode,55810,
Screening Gastro Transurethral resection prostate,CPTCode,52601,
Advanced Dermatology Vasectomy,CPTCode,55250,
Routine ENT Orchiectomy,CPTCode,54520,
Routine Orthopedic Nephrectomy,CPTCode,50220,
Routine Orthopedic Cholecystectomy laparoscopic,CPTCode,47562,
Targeted Dermatology Appendectomy,CPTCode,44950,
Follow-up Orthopedic Hernia repair inguinal,CPTCode,49505,
Therapeutic Gastro Hernia repair ventral,CPTCode,49560,
Screening Pediatric Colectomy partial,CPTCode,44140,
Screening ENT Colostomy,CPTCode,44320,
Comprehensive Neurological Hemorrhoidectomy,CPTCode,46250,
Screening Oncology Fistulectomy,CPTCode,46270,
Screening Orthopedic Splenectomy,CPTCode,38100,
Specialized Cardiac Gastrectomy partial,CPTCode,43631,
Therapeutic Dermatology Gastric bypass,CPTCode,43644,
Therapeutic Renal Sleeve gastrectomy,CPTCode,43775,
Follow-up Pediatric Whipple procedure,CPTCode,48150,
Follow-up Renal Coronary artery bypass graft,CPTCode,33533,
Screening Cardiac Cardiac catheterization,CPTCode,93454,
Targeted Renal Percutaneous coronary intervention,CPTCode,92920,
Diagnostic Orthopedic Pacemaker insertion,CPTCode,33206,
Routine Oncology Defibrillator insertion,CPTCode,33249,
Diagnostic Oncology Aortic valve replacement,CPTCode,33405,
Specialized Gastro Mitral valve repair,CPTCode,33425,
Screening Pediatric Carotid endarterectomy,CPTCode,35301,
Therapeutic Gastro Aortic aneurysm repair,CPTCode,35082,
Specialized Cardiac Peripheral vascular bypass,CPTCode,35556,
Follow-up Gastro Varicose vein surgery,CPTCode,37700,
Specialized Gastro Arteriovenous fistula creation,CPTCode,36821,
Specialized Neurological Hip replacement total,CPTCode,27130,
Targeted Cardiac Knee replacement total,CPTCode,27447,
Advanced Dermatology Shoulder replacement total,CPTCode,23472,
Screening ENT Spinal fusion lumbar,CPTCode,22612,
Targeted ENT Spinal fusion cervical,CPTCode,22551,
Targeted Dermatology Laminectomy,CPTCode,63030,
Advanced Dermatology Discectomy,CPTCode,63030,
Comprehensive Gastro Carpal tunnel release,CPTCode,64721,
Routine Gastro Trigger finger release,CPTCode,26055,
Screening Pulmonary Tendon repair,CPTCode,27650,
Emergency Dermatology Fracture repair closed,CPTCode,25600,
Diagnostic Pulmonary Fracture repair open,CPTCode,25607,
Specialized Pulmonary Amputation lower extremity,CPTCode,27592,
Follow-up ENT Skin graft split thickness,CPTCode,15100,
Screening Pediatric Burn debridement,CPTCode,16020,
Advanced Renal Flap reconstruction,CPTCode,15734,
Specialized Gastro Rhinoplasty secondary,CPTCode,30430,
Routine Neurological Blepharoplasty,CPTCode,15822,
Advanced Neurological Facelift,CPTCode,15824,
Specialized Gastro Breast augmentation,CPTCode,19325,
Therapeutic Renal Breast reduction,CPTCode,19318,
Advanced Pulmonary Breast reconstruction,CPTCode,19357,
Follow-up Gastro Liposuction,CPTCode,15877,
Specialized Neurological Abdominoplasty,CPTCode,15847,
Advanced Orthopedic Craniotomy,CPTCode,61510,
Follow-up Oncology Craniectomy,CPTCode,61322,
Emergency Dermatology Ventricular shunt,CPTCode,62220,
Follow-up Gastro Deep brain stimulation,CPTCode,61863,
Advanced Oncology Vagus nerve stimulation,CPTCode,64568,
Follow-up ENT Electroencephalography,CPTCode,95819,
Advanced Pediatric Nerve conduction study,CPTCode,95907,
Screening Neurological EMG,CPTCode,95860,
Follow-up Neurological Sleep study,CPTCode,95810,
Specialized Orthopedic Tilt table test,CPTCode,93660,
Advanced Cardiac Bone density scan,CPTCode,77080,
Comprehensive Oncology Nuclear medicine scan,CPTCode,78300,
Emergency Gastro PET scan,CPTCode,78816,
Screening Orthopedic Mammogram screening,CPTCode,77067,
Comprehensive Gastro Mammogram diagnostic,CPTCode,77066,
Therapeutic Pulmonary Pap smear,CPTCode,88141,
Specialized Pulmonary Urinalysis,CPTCode,81001,
Therapeutic Orthopedic Complete blood count,CPTCode,85025,
Targeted Cardiac Comprehensive metabolic panel,CPTCode,80053,
Screening Cardiac Lipid panel,CPTCode,80061,
Routine Gastro Thyroid panel,CPTCode,84436,
Advanced Cardiac Hemoglobin A1c,CPTCode,83036,
Therapeutic Neurological Prothrombin time,CPTCode,85610,
Advanced Gastro PTT,CPTCode,85730,
Emergency Gastro D-dimer,CPTCode,85379,
Follow-up Orthopedic Troponin,CPTCode,84484,
Therapeutic Orthopedic BNP,CPTCode,83880,
Emergency Cardiac PSA,CPTCode,86316,
Follow-up Dermatology CEA,CPTCode,82378,
Screening Oncology CA-125,CPTCode,86304,
Comprehensive Pulmonary AFP,CPTCode,82105,
Screening Gastro Beta HCG,CPTCode,84702,
Routine Orthopedic Vitamin B12,CPTCode,82607,
Comprehensive Dermatology Folate,CPTCode,82746,
Therapeutic Cardiac Ferritin,CPTCode,82728,
Screening Oncology Iron studies,CPTCode,83540,
Diagnostic Pulmonary Uric acid,CPTCode,84550,
Targeted Orthopedic Cortisol,CPTCode,82533,
Screening Dermatology Testosterone,CPTCode,84402,
Therapeutic Pediatric Estradiol,CPTCode,82670,
Therapeutic Dermatology FSH,CPTCode,83001,
Diagnostic Pulmonary LH,CPTCode,83002,
Specialized ENT Progesterone,CPTCode,84144,
Follow-up Gastro Prolactin,CPTCode,84146,
Emergency ENT DHEA,CPTCode,82626,
Specialized Pulmonary Insulin,CPTCode,83525,
Advanced Dermatology C-peptide,CPTCode,84681,
Screening Renal Rheumatoid factor,CPTCode,86431,
Screening Neurological ANA,CPTCode,86038,
Therapeutic Oncology Anti-dsDNA,CPTCode,86060,
Comprehensive ENT Anti-CCP,CPTCode,86200,
Therapeutic Orthopedic ESR,CPTCode,85651,
Advanced Gastro CRP,CPTCode,86140,
Advanced Cardiac Urine culture,CPTCode,87086,
Emergency Oncology Blood culture,CPTCode,87040,
Routine Orthopedic Throat culture,CPTCode,87070,
Routine Neurological Stool culture,CPTCode,87045,
Advanced Pulmonary COVID-19 PCR test,CPTCode,87635,
Emergency ENT Influenza test,CPTCode,87804,
Targeted Oncology Strep test rapid,CPTCode,87880,
Targeted Oncology Mono test,CPTCode,86308,
Comprehensive Orthopedic HIV test,CPTCode,86703,
Comprehensive Pulmonary Hepatitis B surface antigen,CPTCode,87340,
Screening Orthopedic Hepatitis C antibody,CPTCode,86803,
Emergency Pediatric RPR syphilis test,CPTCode,86592,
Follow-up ENT Chlamydia gonorrhea NAAT,CPTCode,87491,
Specialized Orthopedic Physical therapy evaluation,CPTCode,97161,
Comprehensive Pulmonary Physical therapy treatment,CPTCode,97110,
Emergency Renal Occupational therapy evaluation,CPTCode,97165,
Emergency Pulmonary Speech therapy evaluation,CPTCode,92521,
Specialized Pediatric Psychiatric evaluation,CPTCode,90792,
Follow-up Neurological Psychotherapy 45 minutes,CPTCode,90834,
Routine Renal Psychotherapy 60 minutes,CPTCode,90837,
Screening Orthopedic Group therapy,CPTCode,90853,
Screening Cardiac Medication management,CPTCode,90833,
Emergency Neurological Neuropsychological testing,CPTCode,96130,
Diagnostic Dermatology Allergy skin testing,CPTCode,95004,
Routine Renal Allergy immunotherapy,CPTCode,95115,
Advanced Neurological Immunoglobulin infusion,CPTCode,90281,
Follow-up ENT Chemotherapy infusion,CPTCode,96413,
Advanced Dermatology Radiation therapy,CPTCode,77401,
Therapeutic Orthopedic IMRT planning,CPTCode,77301,
Therapeutic Pediatric Brachytherapy,CPTCode,77761,
Follow-up Renal Dialysis hemodialysis,CPTCode,90935,
Emergency Gastro Peritoneal dialysis,CPTCode,90945,
Specialized Pediatric Plasmapheresis,CPTCode,36514,
Specialized Pulmonary Infusion therapy,CPTCode,96360,
Follow-up ENT IV antibiotics,CPTCode,96365,
Therapeutic ENT Total parenteral nutrition,CPTCode,99601,
Follow-up Pediatric Nasogastric tube placement,CPTCode,43752,
Comprehensive Cardiac Endotracheal intubation,CPTCode,31500,
Routine Renal Mechanical ventilation management,CPTCode,94002,
Therapeutic Pediatric Central line insertion,CPTCode,36556,
Comprehensive ENT PICC line insertion,CPTCode,36569,
Diagnostic Neurological Arterial line placement,CPTCode,36620,
Therapeutic ENT Thoracentesis,CPTCode,32555,
Follow-up Gastro Paracentesis,CPTCode,49083,
Routine Pediatric Pericardiocentesis,CPTCode,33010,
Emergency Orthopedic Cardioversion,CPTCode,92960,
Therapeutic Orthopedic Defibrillation,CPTCode,92950,
Screening Renal CPR,CPTCode,92950,
Emergency Neurological Nebulizer treatment,CPTCode,94640,
Specialized Cardiac Oxygen therapy,CPTCode,94760,
Diagnostic Pediatric CPAP,HCPCSCode,E0601,
Screening Oncology BiPAP,HCPCSCode,E0470,
Screening Dermatology Hospital bed,HCPCSCode,E0250,
Routine Gastro Walker,HCPCSCode,E0130,
Diagnostic Dermatology Cane,HCPCSCode,E0100,
Diagnostic Renal Crutches,HCPCSCode,E0110,
Diagnostic ENT Commode,HCPCSCode,E0163,
Emergency Cardiac Bath bench,HCPCSCode,E0245,
Advanced Gastro Nebulizer machine,HCPCSCode,E0570,
Targeted Pediatric Insulin pump,HCPCSCode,E0784,
Targeted Oncology Blood glucose monitor,HCPCSCode,E2101,
Specialized Renal Continuous glucose monitor,HCPCSCode,E2101,
Routine Pulmonary Compression stockings,HCPCSCode,A6531,
Specialized Cardiac Wound dressing,HCPCSCode,A6216,
Comprehensive Renal Ostomy supplies,HCPCSCode,A4361,
Specialized Pediatric Urological catheter,HCPCSCode,A4338,
Diagnostic Oncology Breast pump,HCPCSCode,E0603,
Comprehensive Pediatric Hearing aid,HCPCSCode,V5244,
Diagnostic Renal Orthotics ankle foot,HCPCSCode,L1960,
Routine Oncology Prosthetic limb,HCPCSCode,L5100,
Emergency Orthopedic Spinal orthosis,HCPCSCode,L0648,
Screening Pediatric Cervical collar,HCPCSCode,L0120,
Targeted Pediatric Knee brace,HCPCSCode,L1820,
Specialized Pediatric Shoulder sling,HCPCSCode,A4565,
Therapeutic ENT Wrist splint,HCPCSCode,L3900,
Screening Pulmonary Ambulance transport,HCPCSCode,A0428,
Diagnostic Dermatology Non-emergency transport,HCPCSCode,A0100,
Diagnostic Cardiac Home health aide,HCPCSCode,G0156,
Specialized Pediatric Skilled nursing visit,HCPCSCode,G0299,
Emergency Pulmonary Physical therapy home,HCPCSCode,G0151,
Therapeutic Oncology Occupational therapy home,HCPCSCode,G0152,
Diagnostic Gastro Flu vaccine,CPTCode,90686,
Screening Orthopedic COVID-19 vaccine,CPTCode,91300,
Follow-up Oncology Pneumococcal vaccine,CPTCode,90670,
Comprehensive Pulmonary Shingles vaccine,CPTCode,90750,
Specialized Gastro MMR vaccine,CPTCode,90707,
Comprehensive Renal HPV vaccine,CPTCode,90651,
Follow-up Gastro Hepatitis B vaccine,CPTCode,90739,
Follow-up Oncology Tetanus toxoid,CPTCode,90714,
Routine Orthopedic Meningococcal vaccine,CPTCode,90734,
Specialized Oncology Varicella vaccine,CPTCode,90716,
Diagnostic Renal Chest X-Ray,CPTCode,71045,
Screening Neurological MRI Brain,CPTCode,70551,26.0
Diagnostic Dermatology Blood Test,CPTCode,80050,
Screening Pediatric ECG,CPTCode,93000,
Advanced Cardiac CT Scan,CPTCode,74177,
Screening Neurological Radiologic exam chest 2 views,CPTCode,71046,
Follow-up Orthopedic Subsequent hospital care high complexity,CPTCode,99233,
Emergency Pediatric Wheelchair,HCPCSCode,E1161,
Diagnostic Gastro Office visit established patient low complexity,CPTCode,99213,
Targeted Dermatology Office visit established patient moderate complexity,CPTCode,99214,
Emergency Renal Office visit new patient moderate complexity,CPTCode,99203,
Comprehensive Pediatric Annual wellness visit,CPTCode,G0439,
Emergency Pediatric Preventive visit adult,CPTCode,99396,
Targeted Pulmonary MRI Spine lumbar,CPTCode,72148,26.0
Follow-up Cardiac MRI Knee,CPTCode,73721,26.0
Diagnostic Pediatric MRI Shoulder,CPTCode,73221,26.0
Therapeutic Orthopedic CT Head,CPTCode,70450,
Follow-up Pediatric CT Abdomen pelvis,CPTCode,74178,
Emergency Gastro CT Chest,CPTCode,71250,
Emergency Pediatric Ultrasound abdomen,CPTCode,76700,
Targeted Neurological Ultrasound pelvis,CPTCode,76856,
Targeted Dermatology Ultrasound thyroid,CPTCode,76536,
Emergency Neurological Echocardiogram,CPTCode,93306,26.0
Routine Cardiac Stress test,CPTCode,93015,
Follow-up Gastro Holter monitor,CPTCode,93224,
Screening Cardiac Pulmonary function test,CPTCode,94010,
Routine Neurological Spirometry,CPTCode,94060,
Routine ENT Colonoscopy,CPTCode,45378,
Therapeutic Gastro Upper endoscopy,CPTCode,43239,
Routine Orthopedic Sigmoidoscopy,CPTCode,45331,
Therapeutic Oncology Bronchoscopy,CPTCode,31622,
Emergency Pediatric Cystoscopy,CPTCode,52000,
Targeted Gastro Arthroscopy knee,CPTCode,29881,
Diagnostic Renal Arthroscopy shoulder,CPTCode,29826,
Emergency Dermatology Lumbar puncture,CPTCode,62270,
Screening Dermatology Bone marrow biopsy,CPTCode,38221,
Advanced Orthopedic Liver biopsy,CPTCode,47000,
Comprehensive Orthopedic Kidney biopsy,CPTCode,50200,
Therapeutic Pediatric Skin biopsy,CPTCode,11102,
Therapeutic Cardiac Fine needle aspiration,CPTCode,10021,
Screening Pediatric Excision of lesion skin,CPTCode,11400,
Diagnostic Pediatric Laceration repair simple,CPTCode,12001,
Advanced Cardiac Laceration repair complex,CPTCode,13100,
Follow-up Renal Abscess incision drainage,CPTCode,10060,
Advanced Dermatology Nail removal,CPTCode,11730,
Advanced Pulmonary Cerumen removal,CPTCode,69210,
Screening Orthopedic Cataract surgery,CPTCode,66984,
Targeted Renal Vitrectomy,CPTCode,67036,
Emergency Dermatology LASIK,CPTCode,66999,
Emergency Dermatology Tonsillectomy,CPTCode,42825,
Screening Dermatology Adenoidectomy,CPTCode,42830,
Therapeutic Pediatric Septoplasty,CPTCode,30520,
Specialized ENT Rhinoplasty,CPTCode,30400,
Routine Dermatology Sinus surgery,CPTCode,31256,
Specialized Cardiac Thyroidectomy total,CPTCode,60240,
Specialized Gastro Parathyroidectomy,CPTCode,60500,
Routine Renal Mastectomy simple,CPTCode,19301,
Comprehensive Pulmonary Lumpectomy,CPTCode,19301,
Therapeutic Renal Sentinel node biopsy,CPTCode,38792,
Advanced Renal Hysterectomy total abdominal,CPTCode,58150,
Therapeutic Oncology Hysterectomy laparoscopic,CPTCode,58570,
Targeted Neurological Myomectomy abdominal,CPTCode,58140,
Targeted Renal Oophorectomy,CPTCode,58940,
Advanced Cardiac Tubal ligation,CPTCode,58600,
Diagnostic Renal Cesarean section,CPTCode,59510,
Routine Orthopedic Normal vaginal delivery,CPTCode,59400,
Follow-up Orthopedic Dilation and curettage,CPTCode,58120,
Diagnostic Renal Colposcopy,CPTCode,57454,
Therapeutic Renal LEEP procedure,CPTCode,57461,
Diagnostic Pulmonary Prostatectomy radical,CPTCode,55810,
Emergency Orthopedic Transurethral resection prostate,CPTCode,52601,
Advanced Pulmonary Vasectomy,CPTCode,55250,
Routine Orthopedic Orchiectomy,CPTCode,54520,
Advanced ENT Nephrectomy,CPTCode,50220,
Targeted Gastro Cholecystectomy laparoscopic,CPTCode,47562,
Specialized Pediatric Appendectomy,CPTCode,44950,
Screening Oncology Hernia repair inguinal,CPTCode,49505,
Comprehensive Orthopedic Hernia repair ventral,CPTCode,49560,
Targeted Dermatology Colectomy partial,CPTCode,44140,
Specialized Gastro Colostomy,CPTCode,44320,
Comprehensive Dermatology Hemorrhoidectomy,CPTCode,46250,
Screening Pediatric Fistulectomy,CPTCode,46270,
Follow-up Renal Splenectomy,CPTCode,38100,
Therapeutic Oncology Gastrectomy partial,CPTCode,43631,
Specialized Dermatology Gastric bypass,CPTCode,43644,
Screening Oncology Sleeve gastrectomy,CPTCode,43775,
Targeted Neurological Whipple procedure,CPTCode,48150,
Follow-up Gastro Coronary artery bypass graft,CPTCode,33533,
Specialized Gastro Cardiac catheterization,CPTCode,93454,
Targeted ENT Percutaneous coronary intervention,CPTCode,92920,
Emergency Gastro Pacemaker insertion,CPTCode,33206,
Specialized Gastro Defibrillator insertion,CPTCode,33249,
Emergency Pediatric Aortic valve replacement,CPTCode,33405,
Emergency Orthopedic Mitral valve repair,CPTCode,33425,
Follow-up Pediatric Carotid endarterectomy,CPTCode,35301,
Targeted Orthopedic Aortic aneurysm repair,CPTCode,35082,
Therapeutic Pediatric Peripheral vascular bypass,CPTCode,35556,
Emergency Orthopedic Varicose vein surgery,CPTCode,37700,
Emergency Dermatology Arteriovenous fistula creation,CPTCode,36821,
Screening Pediatric Hip replacement total,CPTCode,27130,
Comprehensive Oncology Knee replacement total,CPTCode,27447,
Follow-up Cardiac Shoulder replacement total,CPTCode,23472,
Routine Pulmonary Spinal fusion lumbar,CPTCode,22612,
Screening Pediatric Spinal fusion cervical,CPTCode,22551,
Comprehensive Cardiac Laminectomy,CPTCode,63030,
Advanced Oncology Discectomy,CPTCode,63030,
Therapeutic Cardiac Carpal tunnel release,CPTCode,64721,
Emergency Renal Trigger finger release,CPTCode,26055,
Specialized Neurological Tendon repair,CPTCode,27650,
Specialized Oncology Fracture repair closed,CPTCode,25600,
Therapeutic Pulmonary Fracture repair open,CPTCode,25607,
Routine Gastro Amputation lower extremity,CPTCode,27592,
Advanced Renal Skin graft split thickness,CPTCode,15100,
Targeted Dermatology Burn debridement,CPTCode,16020,
Targeted Dermatology Flap reconstruction,CPTCode,15734,
Targeted Cardiac Rhinoplasty secondary,CPTCode,30430,
Specialized Dermatology Blepharoplasty,CPTCode,15822,
Emergency Pediatric Facelift,CPTCode,15824,
Advanced Neurological Breast augmentation,CPTCode,19325,
Routine Oncology Breast reduction,CPTCode,19318,
Screening Pulmonary Breast reconstruction,CPTCode,19357,
Routine Oncology Liposuction,CPTCode,15877,
Comprehensive Pulmonary Abdominoplasty,CPTCode,15847,
Targeted Orthopedic Craniotomy,CPTCode,61510,
Emergency Cardiac Craniectomy,CPTCode,61322,
Comprehensive ENT Ventricular shunt,CPTCode,62220,
Comprehensive Oncology Deep brain stimulation,CPTCode,61863,
Emergency Cardiac Vagus nerve stimulation,CPTCode,64568,
Specialized Renal Electroencephalography,CPTCode,95819,
Comprehensive Gastro Nerve conduction study,CPTCode,95907,
Follow-up Gastro EMG,CPTCode,95860,
Diagnostic Orthopedic Sleep study,CPTCode,95810,
Diagnostic Cardiac Tilt table test,CPTCode,93660,
Emergency Gastro Bone density scan,CPTCode,77080,
Emergency Gastro Nuclear medicine scan,CPTCode,78300,
Therapeutic Neurological PET scan,CPTCode,78816,
Comprehensive Orthopedic Mammogram screening,CPTCode,77067,
Follow-up Cardiac Mammogram diagnostic,CPTCode,77066,
Advanced Gastro Pap smear,CPTCode,88141,
Specialized Renal Urinalysis,CPTCode,81001,
Specialized Oncology Complete blood count,CPTCode,85025,
Therapeutic Gastro Comprehensive metabolic panel,CPTCode,80053,
Routine Neurological Lipid panel,CPTCode,80061,
Diagnostic Cardiac Thyroid panel,CPTCode,84436,
Comprehensive Renal Hemoglobin A1c,CPTCode,83036,
Follow-up Pediatric Prothrombin time,CPTCode,85610,
Targeted Gastro PTT,CPTCode,85730,
Comprehensive Dermatology D-dimer,CPTCode,85379,
Routine ENT Troponin,CPTCode,84484,
Therapeutic Renal BNP,CPTCode,83880,
Follow-up Cardiac PSA,CPTCode,86316,
Diagnostic Gastro CEA,CPTCode,82378,
Specialized Renal CA-125,CPTCode,86304,
Emergency Gastro AFP,CPTCode,82105,
Emergency Oncology Beta HCG,CPTCode,84702,
Follow-up Oncology Vitamin B12,CPTCode,82607,
Screening Orthopedic Folate,CPTCode,82746,
Follow-up Cardiac Ferritin,CPTCode,82728,
Comprehensive Pediatric Iron studies,CPTCode,83540,
Advanced Gastro Uric acid,CPTCode,84550,
Comprehensive Renal Cortisol,CPTCode,82533,
Therapeutic Dermatology Testosterone,CPTCode,84402,
Comprehensive Renal Estradiol,CPTCode,82670,
Advanced Renal FSH,CPTCode,83001,
Comprehensive Cardiac LH,CPTCode,83002,
Emergency Oncology Progesterone,CPTCode,84144,
Targeted Neurological Prolactin,CPTCode,84146,
Diagnostic Orthopedic DHEA,CPTCode,82626,
Diagnostic Renal Insulin,CPTCode,83525,
Therapeutic Cardiac C-peptide,CPTCode,84681,
Targeted Orthopedic Rheumatoid factor,CPTCode,86431,
Diagnostic ENT ANA,CPTCode,86038,
Screening Pediatric Anti-dsDNA,CPTCode,86060,
Therapeutic Cardiac Anti-CCP,CPTCode,86200,
Follow-up Pediatric ESR,CPTCode,85651,
Comprehensive Dermatology CRP,CPTCode,86140,
Specialized ENT Urine culture,CPTCode,87086,
Comprehensive Pulmonary Blood culture,CPTCode,87040,
Therapeutic Pulmonary Throat culture,CPTCode,87070,
Emergency Oncology Stool culture,CPTCode,87045,
Follow-up Renal COVID-19 PCR test,CPTCode,87635,
Advanced ENT Influenza test,CPTCode,87804,
Advanced Gastro Strep test rapid,CPTCode,87880,
Emergency ENT Mono test,CPTCode,86308,
Diagnostic Oncology HIV test,CPTCode,86703,
Therapeutic Oncology Hepatitis B surface antigen,CPTCode,87340,
Follow-up Pulmonary Hepatitis C antibody,CPTCode,86803,
Routine Neurological RPR syphilis test,CPTCode,86592,
Emergency Renal Chlamydia gonorrhea NAAT,CPTCode,87491,
Therapeutic Renal Physical therapy evaluation,CPTCode,97161,
Targeted Gastro Physical therapy treatment,CPTCode,97110,
Targeted Dermatology Occupational therapy evaluation,CPTCode,97165,
Comprehensive Gastro Speech therapy evaluation,CPTCode,92521,
Specialized Cardiac Psychiatric evaluation,CPTCode,90792,
Comprehensive Oncology Psychotherapy 45 minutes,CPTCode,90834,
Follow-up Renal Psychotherapy 60 minutes,CPTCode,90837,
Comprehensive Pediatric Group therapy,CPTCode,90853,
Emergency Cardiac Medication management,CPTCode,90833,
Emergency Dermatology Neuropsychological testing,CPTCode,96130,
Screening Oncology Allergy skin testing,CPTCode,95004,
Routine Renal Allergy immunotherapy,CPTCode,95115,
Emergency ENT Immunoglobulin infusion,CPTCode,90281,
Emergency Renal Chemotherapy infusion,CPTCode,96413,
Emergency Dermatology Radiation therapy,CPTCode,77401,
Specialized Pediatric IMRT planning,CPTCode,77301,
Screening Orthopedic Brachytherapy,CPTCode,77761,
Diagnostic Pediatric Dialysis hemodialysis,CPTCode,90935,
Therapeutic Orthopedic Peritoneal dialysis,CPTCode,90945,
Specialized Cardiac Plasmapheresis,CPTCode,36514,
Comprehensive Renal Infusion therapy,CPTCode,96360,
Therapeutic Dermatology IV antibiotics,CPTCode,96365,
Comprehensive Gastro Total parenteral nutrition,CPTCode,99601,
Follow-up Gastro Nasogastric tube placement,CPTCode,43752,
Specialized Oncology Endotracheal intubation,CPTCode,31500,
Emergency Renal Mechanical ventilation management,CPTCode,94002,
Targeted Neurological Central line insertion,CPTCode,36556,
Advanced Orthopedic PICC line insertion,CPTCode,36569,
Routine Gastro Arterial line placement,CPTCode,36620,
Therapeutic Pediatric Thoracentesis,CPTCode,32555,
Targeted Cardiac Paracentesis,CPTCode,49083,
Routine Orthopedic Pericardiocentesis,CPTCode,33010,
Routine Orthopedic Cardioversion,CPTCode,92960,
Emergency ENT Defibrillation,CPTCode,92950,
Advanced Gastro CPR,CPTCode,92950,
Specialized Oncology Nebulizer treatment,CPTCode,94640,
Specialized ENT Oxygen therapy,CPTCode,94760,
Diagnostic Oncology CPAP,HCPCSCode,E0601,
Screening Orthopedic BiPAP,HCPCSCode,E0470,
Specialized Neurological Hospital bed,HCPCSCode,E0250,
Follow-up Pediatric Walker,HCPCSCode,E0130,
Advanced Oncology Cane,HCPCSCode,E0100,
Therapeutic Pulmonary Crutches,HCPCSCode,E0110,
Comprehensive Cardiac Commode,HCPCSCode,E0163,
Screening Renal Bath bench,HCPCSCode,E0245,
Therapeutic Oncology Nebulizer machine,HCPCSCode,E0570,
Targeted Dermatology Insulin pump,HCPCSCode,E0784,
Screening Oncology Blood glucose monitor,HCPCSCode,E2101,
Diagnostic Orthopedic Continuous glucose monitor,HCPCSCode,E2101,
Comprehensive Cardiac Compression stockings,HCPCSCode,A6531,
Emergency Renal Wound dressing,HCPCSCode,A6216,
Therapeutic Pediatric Ostomy supplies,HCPCSCode,A4361,
Specialized Gastro Urological catheter,HCPCSCode,A4338,
Specialized Dermatology Breast pump,HCPCSCode,E0603,
Screening Dermatology Hearing aid,HCPCSCode,V5244,
Emergency Orthopedic Orthotics ankle foot,HCPCSCode,L1960,
Targeted Cardiac Prosthetic limb,HCPCSCode,L5100,
Follow-up Neurological Spinal orthosis,HCPCSCode,L0648,
Therapeutic Dermatology Cervical collar,HCPCSCode,L0120,
Specialized Orthopedic Knee brace,HCPCSCode,L1820,
Routine Dermatology Shoulder sling,HCPCSCode,A4565,
Follow-up Neurological Wrist splint,HCPCSCode,L3900,
Routine Pulmonary Ambulance transport,HCPCSCode,A0428,
Routine Orthopedic Non-emergency transport,HCPCSCode,A0100,
Diagnostic Gastro Home health aide,HCPCSCode,G0156,
Comprehensive Neurological Skilled nursing visit,HCPCSCode,G0299,
Routine Pulmonary Physical therapy home,HCPCSCode,G0151,
Therapeutic Pulmonary Occupational therapy home,HCPCSCode,G0152,
Therapeutic Orthopedic Flu vaccine,CPTCode,90686,
Screening Orthopedic COVID-19 vaccine,CPTCode,91300,
Routine Oncology Pneumococcal vaccine,CPTCode,90670,
Routine Dermatology Shingles vaccine,CPTCode,90750,
Comprehensive Dermatology MMR vaccine,CPTCode,90707,
Therapeutic Orthopedic HPV vaccine,CPTCode,90651,
Emergency Renal Hepatitis B vaccine,CPTCode,90739,
Comprehensive Cardiac Tetanus toxoid,CPTCode,90714,
Targeted Pulmonary Meningococcal vaccine,CPTCode,90734,
Therapeutic Renal Varicella vaccine,CPTCode,90716,
Advanced Dermatology Chest X-Ray,CPTCode,71045,
Emergency Pulmonary MRI Brain,CPTCode,70551,26.0
Screening Neurological Blood Test,CPTCode,80050,
Follow-up Neurological ECG,CPTCode,93000,
Screening Orthopedic CT Scan,CPTCode,74177,
